bitch_count,ho_count,name.href,name.text,overall_count,pussy_count
239,38,http://www.misogynystats.com/rappers/1,Lil B,290,13
174,57,http://www.misogynystats.com/rappers/8,Too $hort,245,14
95,82,http://www.misogynystats.com/rappers/103,Ying Yang Twins,213,36
135,48,http://www.misogynystats.com/rappers/46,Bobby Shmurda,205,22
51,24,http://www.misogynystats.com/rappers/144,Plies,195,120
134,22,http://www.misogynystats.com/rappers/20,Lil Wayne,183,27
156,12,http://www.misogynystats.com/rappers/22,Nicki Minaj,182,14
92,56,http://www.misogynystats.com/rappers/49,Dr. Dre,154,6
88,21,http://www.misogynystats.com/rappers/12,Rich Gang,144,35
124,14,http://www.misogynystats.com/rappers/64,Chief Keef,144,6
108,9,http://www.misogynystats.com/rappers/29,Chris Brown & Tyga,140,23
96,14,http://www.misogynystats.com/rappers/2,Young Thug,132,22
101,20,http://www.misogynystats.com/rappers/55,Young Dolph,131,10
66,60,http://www.misogynystats.com/rappers/59,Three 6 Mafia,131,5
84,32,http://www.misogynystats.com/rappers/39,Juvenile,123,7
76,33,http://www.misogynystats.com/rappers/56,E-40,120,11
71,24,http://www.misogynystats.com/rappers/38,Birdman,113,18
62,24,http://www.misogynystats.com/rappers/101,Trina,113,27
66,28,http://www.misogynystats.com/rappers/60,2 Chainz,112,18
76,26,http://www.misogynystats.com/rappers/3,Rich Homie Quan,110,8
80,10,http://www.misogynystats.com/rappers/7,YG,110,20
84,24,http://www.misogynystats.com/rappers/150,Shindy,110,2
56,22,http://www.misogynystats.com/rappers/96,2 Live Crew,108,30
59,26,http://www.misogynystats.com/rappers/120,Mystikal,106,21
78,15,http://www.misogynystats.com/rappers/131,N.W.A,101,8
76,19,http://www.misogynystats.com/rappers/4,Gucci Mane & Chief Keef,98,3
76,19,http://www.misogynystats.com/rappers/65,Gucci Mane,98,3
64,22,http://www.misogynystats.com/rappers/42,A$AP Rocky,95,9
61,21,http://www.misogynystats.com/rappers/10,Danny Brown,94,12
67,10,http://www.misogynystats.com/rappers/53,Rick Ross,93,16
64,20,http://www.misogynystats.com/rappers/75,Yo Gotti,92,8
64,12,http://www.misogynystats.com/rappers/70,Lil Kim,91,15
47,22,http://www.misogynystats.com/rappers/108,ScHoolboy Q,80,11
50,15,http://www.misogynystats.com/rappers/52,Ja Rule,72,7
49,18,http://www.misogynystats.com/rappers/41,Complex UK,70,3
39,19,http://www.misogynystats.com/rappers/30,Big Sean,67,9
50,10,http://www.misogynystats.com/rappers/5,Lil Durk,66,6
49,7,http://www.misogynystats.com/rappers/148,Bo Burnham,66,10
38,12,http://www.misogynystats.com/rappers/67,Gunplay,65,15
27,28,http://www.misogynystats.com/rappers/82,RZA,63,8
38,14,http://www.misogynystats.com/rappers/127,Iggy Azalea,61,9
37,16,http://www.misogynystats.com/rappers/58,Jeezy,60,7
44,12,http://www.misogynystats.com/rappers/71,Pusha T,58,2
45,3,http://www.misogynystats.com/rappers/138,Necro,58,10
35,12,http://www.misogynystats.com/rappers/21,50 Cent,57,10
35,12,http://www.misogynystats.com/rappers/143,Fetty Wap,54,7
37,14,http://www.misogynystats.com/rappers/54,Soulja Boy,52,1
32,14,http://www.misogynystats.com/rappers/19,Diddy,50,4
27,18,http://www.misogynystats.com/rappers/73,T-Wayne,49,4
38,8,http://www.misogynystats.com/rappers/118,Earl Sweatshirt,49,3
31,10,http://www.misogynystats.com/rappers/18,The Notorious B.I.G.,47,6
33,13,http://www.misogynystats.com/rappers/25,2Pac,47,1
26,16,http://www.misogynystats.com/rappers/48,Snoop Dogg,46,4
31,13,http://www.misogynystats.com/rappers/113,Ice Cube,46,2
28,4,http://www.misogynystats.com/rappers/27,Kanye West / Jay Z,45,13
28,4,http://www.misogynystats.com/rappers/61,Kanye West,45,13
39,5,http://www.misogynystats.com/rappers/141,Insane Clown Posse,45,1
33,2,http://www.misogynystats.com/rappers/17,"Tyler, The Creator",43,8
34,7,http://www.misogynystats.com/rappers/99,Xzibit,42,1
27,9,http://www.misogynystats.com/rappers/14,Run the Jewels,41,5
25,14,http://www.misogynystats.com/rappers/45,Death Grips,41,2
23,12,http://www.misogynystats.com/rappers/76,Ghostface Killah,41,6
37,1,http://www.misogynystats.com/rappers/98,Dr. Dooom (Kool Keith),41,3
31,3,http://www.misogynystats.com/rappers/115,DMX,40,6
31,6,http://www.misogynystats.com/rappers/147,Lupe Fiasco,38,1
18,14,http://www.misogynystats.com/rappers/26,Killer Mike,37,5
6,1,http://www.misogynystats.com/rappers/35,Neck Deep,37,30
6,1,http://www.misogynystats.com/rappers/63,The Roots,37,30
25,5,http://www.misogynystats.com/rappers/37,Kendrick Lamar,36,6
25,5,http://www.misogynystats.com/rappers/140,Mr. Fritz,36,6
22,9,http://www.misogynystats.com/rappers/117,Kenji Fineberg,35,4
22,10,http://www.misogynystats.com/rappers/62,Jay Z,34,2
23,8,http://www.misogynystats.com/rappers/13,Wu-Tang Clan,33,2
23,6,http://www.misogynystats.com/rappers/66,T-Pain,32,3
18,11,http://www.misogynystats.com/rappers/74,Nas Escobar,32,3
19,11,http://www.misogynystats.com/rappers/128,Chance The Rapper,32,2
23,5,http://www.misogynystats.com/rappers/105,Busta Rhymes,31,3
19,8,http://www.misogynystats.com/rappers/51,Action Bronson,30,3
21,7,http://www.misogynystats.com/rappers/91,Common,30,2
17,7,http://www.misogynystats.com/rappers/137,Childish Gambino,28,4
16,8,http://www.misogynystats.com/rappers/23,Method Man,27,3
17,9,http://www.misogynystats.com/rappers/135,RiFF RAFF,27,1
16,9,http://www.misogynystats.com/rappers/122,Wiz Khalifa,26,1
4,10,http://www.misogynystats.com/rappers/149,Akon,24,10
18,5,http://www.misogynystats.com/rappers/16,Eminem,23,0
14,6,http://www.misogynystats.com/rappers/44,Mobb Deep,23,3
7,15,http://www.misogynystats.com/rappers/36,MF DOOM,22,0
15,3,http://www.misogynystats.com/rappers/77,Sausage Kings,21,3
10,5,http://www.misogynystats.com/rappers/40,Styles P,20,5
17,3,http://www.misogynystats.com/rappers/50,Wale,20,0
14,1,http://www.misogynystats.com/rappers/146,Immortal Technique,19,4
12,2,http://www.misogynystats.com/rappers/100,Company Flow,18,4
12,4,http://www.misogynystats.com/rappers/130,MC Chris,17,1
